MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,OTYPE,SP_TYPE,SP_QUAL,SP_BIBCODE,FLUX_V,SCRIPT_NUMBER_ID,HAS_COMPANION,IS_COMPANION,COMPANION_NAME,DIST,ABS_MAG_V,X,Y,Z
1 Hya C,126.2184395833333,-3.683858888888889,14.0,14.0,0.2156,0.1441,90.0,A,O,2020yCat.1350....0G,36.6831,Low-Mass*,M5.5Ve,C,2003AJ....126.3007R,17.15999984741211,0.0,False,True,,27.260509607966608,14.982329996034181,-19.848244462575945,-12.298705623561418,14.068561256391568
111 Tau B,80.90991416666665,17.324116666666665,14.0,14.0,0.02,0.0139,90.0,A,O,2020yCat.1350....0G,68.7662,HighPM*,K4V,C,2010MNRAS.403.1949K,7.919000148773193,0.0,False,True,,14.542027914876785,7.105875278871523,0.47267325130924165,-0.45970918894129076,-14.527072084083404
17 Crt B,173.06683291666664,-29.26330527777778,14.0,14.0,0.0296,0.03,90.0,A,O,2020yCat.1350....0G,35.5239,HighPM*,F8V,C,2001AJ....121.2148G,5.671000003814697,0.0,False,True,,28.15006235238811,3.4236031980611576,14.87064410277539,4.263835736754989,23.518283509259362
17 Cyg B,296.6147779166666,33.730246666666666,14.0,14.0,0.0137,0.0151,90.0,A,O,2020yCat.1350....0G,47.7379,HighPM*,K4,D,1985ApJS...59..197B,,0.0,False,True,,20.947716594152652,,-3.7236268381386584,-13.68154726548727,15.419361144401208
17 Vir B,185.63126166666663,5.310796388888889,14.0,14.0,0.0221,0.0159,90.0,A,O,2020yCat.1350....0G,33.3729,HighPM*,K5V:,D,,,0.0,False,True,,29.964432218956095,,-16.234966476899043,-4.620926664456849,-24.757627076521086
20 LMi B,150.20927124999997,31.929221944444446,14.0,14.0,0.2703,0.2221,90.0,A,O,2020yCat.1350....0G,66.9296,HighPM*,M6.0V,C,2015A&A...577A.128A,,0.0,False,True,,14.941072410413332,,10.835623554373162,-7.210820521829152,7.336823179216982
212 Pup B,118.06398166666665,-34.70549194444445,14.0,14.0,0.0147,0.0183,90.0,A,O,2020yCat.1350....0G,54.5529,HighPM*,K3V,C,1984ApJS...55..657C,8.59000015258789,0.0,False,True,,18.33083117487796,7.274089364471015,-4.560304472721064,17.54762316973307,2.702575766006433
30 Ari B,39.24060583333333,24.648055555555555,14.0,14.0,0.028,0.0263,90.0,A,O,2020yCat.1350....0G,22.5107,HighPM*,F6V,C,2009A&A...507.1659G,7.090000152587891,0.0,False,True,,44.42331868844594,3.8519451534480096,1.1516134844351607,39.28983144110243,-20.69816839740793
36 Oph B,258.8374325,-26.602825833333334,14.0,14.0,0.0872,0.0506,90.0,A,O,2020yCat.1350....0G,168.1303,HighPM*,K1V,C,2006A&A...460..695T,5.03000020980835,0.0,False,True,,5.947767891926678,6.158230149313235,0.20165630496490794,0.5629708364305624,-5.9176297170599055
36 UMa B,157.60545333333332,55.99912638888889,14.0,14.0,0.012,0.0147,90.0,A,O,2020yCat.1350....0G,77.4072,HighPM*,K7Ve,C,2015A&A...577A.128A,,0.0,False,True,,12.918694901766242,,9.528393038993578,5.529484495511831,-6.747385069289742
39 Leo B,154.30852666666664,23.10727388888889,14.0,14.0,0.0204,0.0183,90.0,A,O,2020yCat.1350....0G,44.8768,HighPM*,M1,D,1985ApJS...59..197B,,0.0,False,True,,22.28322875071306,,9.122082254144376,3.543227625790926,-20.019376536172686
41 Ara B,259.76236958333334,-46.63697444444444,14.0,14.0,0.3496,0.3029,90.0,A,O,2020yCat.1350....0G,113.2858,HighPM*,M0VpCa-3Cr-1,B,1984ApJS...55..657C,8.6899995803833,0.0,False,True,,8.827231656571257,8.9608769598798,4.281682476731794,-6.52135019165229,-4.130279114667469
5 Ser B,229.83017749999996,1.7680119444444444,14.0,14.0,0.0146,0.0154,90.0,A,O,2020yCat.1350....0G,39.7714,HighPM*,K4,D,1985ApJS...59..197B,10.109999656677246,0.0,False,True,,25.1436962239197,8.107854051332213,4.337835511534729,2.3356032546727628,24.656309543651986
53 Aqr,336.64291749999995,-16.742194444444447,10.0,10.0,59.0,61.0,90.0,B,O,2002A&A...384..180F,49.5,HighPM*,G2V,C,2006A&A...460..695T,6.21999979019165,0.0,True,True,53 Aqr B,20.2020202020202,4.693025784859495,9.099661654553364,4.882953890431147,17.363022182771257
53 Aqr B,336.6427933333333,-16.741589166666667,10.0,10.0,59.0,61.0,90.0,B,O,2002A&A...384..180F,49.8,HighPM*,G3V,C,2006A&A...460..695T,6.320000171661377,0.0,False,True,,20.080321285140563,4.806146885459965,9.054650586310043,4.857352652346808,17.252209449373254
61 Cyg B,316.7302658333333,38.74204388888889,14.0,14.0,0.019,0.0232,90.0,A,O,2020yCat.1350....0G,286.0054,Eruptive*,K7V,B,1989ApJS...71..245K,6.03000020980835,0.0,False,True,,3.4964374798517786,8.311871374895219,-1.482124562652445,0.9512339761465185,3.0205191199393258
66 Cet B,33.194338333333334,-2.3963319444444444,14.0,14.0,0.0245,0.0194,90.0,A,O,2020yCat.1350....0G,26.1678,HighPM*,G1V,C,1988ApJ...331..922A,7.739999771118164,0.0,False,True,,38.21490534167947,4.828835830243697,5.788990561850987,-27.481449098234233,-25.9159513429371
70 Oph B,271.36442874999995,2.4989469444444445,14.0,14.0,0.1956,0.177,90.0,A,O,2020yCat.1350....0G,195.8563,HighPM*,K4V,C,1967AJ.....72.1334C,6.070000171661377,0.0,False,True,,5.105784189735025,7.5296879007420445,-1.528696454106317,-3.7906028367629765,3.0599754046847165
83 Leo B,171.69282624999997,3.006321111111111,14.0,14.0,0.024,0.0229,90.0,A,O,2020yCat.1350....0G,55.0618,HighPM*,K3,D,1985ApJS...59..197B,7.53000020980835,0.0,False,True,,18.161411359599576,6.234252232861861,8.246460156955681,-15.994811575930408,2.4492366367539122
9 Aur C,76.70489499999998,51.60958638888889,14.0,14.0,0.0148,0.0111,90.0,A,O,2020yCat.1350....0G,37.2115,HighPM*,K5Ve,C,2015A&A...577A.128A,9.489999771118164,0.0,False,True,,26.873412789057145,7.3433856553017325,1.5768191418167414,5.8304970319682905,26.18585993786092
94 Aqr B,349.7773370833333,-13.455250277777777,14.0,14.0,0.0247,0.0212,90.0,A,O,2020yCat.1350....0G,44.5698,HighPM*,K2,D,1985ApJS...59..197B,,0.0,False,True,,22.436717239027324,,-6.906549511715742,-12.34020146760051,-17.419106809630488
AT Mic,310.4630333333333,-32.435182499999996,14.0,14.0,0.0592,0.0317,90.0,A,O,2020yCat.1350....0G,100.7921,HighPM*,M4.5Ve,C,1974ApJS...28....1J,10.359999656677246,0.0,True,True,AT Mic B,9.92141249165361,10.377132125713862,-4.419465535353514,2.737888822028596,-8.450249405169865
AT Mic B,310.46316749999994,-32.436175,14.0,14.0,0.0614,0.0316,90.0,A,O,2020yCat.1350....0G,101.9724,HighPM*,M4.5Ve,C,1974ApJS...28....1J,11.34000015258789,0.0,False,True,,9.806575112481417,11.382413357000429,-4.36162477409154,2.7012463742198474,-8.357536287240096
BD+01 3942B,288.74593791666666,2.162818888888889,14.0,14.0,0.0137,0.0113,90.0,A,O,2020yCat.1350....0G,37.2314,HighPM*,M0V,B,1991ApJS...77..417K,,0.0,False,True,,26.859049082226296,,-14.402288743136031,4.150582903688193,22.288007046848975
BD+01 4797B,358.5450891666666,2.3099966666666667,14.0,14.0,0.1277,0.078,90.0,A,O,2020yCat.1350....0G,23.8391,HighPM*,K7V,C,2006A&A...460..695T,11.239999771118164,0.0,False,True,,41.947892328149976,8.12644904818487,-25.99037344368236,-11.09675902422242,30.99980803473358
BD+02 305B,29.80251583333333,3.519832222222222,14.0,14.0,0.0461,0.0298,90.0,A,O,2020yCat.1350....0G,41.9019,SB*,M3V,C,2014AJ....147...20N,12.470000267028809,0.0,False,True,,23.86526625284295,10.581168847350417,0.9448317058671541,22.15824322542734,-8.813085925456306
BD+03 275B,30.514472499999993,3.945140277777778,14.0,14.0,0.3293,0.2539,90.0,A,O,2020yCat.1350....0G,28.9219,HighPM*,M1.5,D,1985ApJS...59..197B,13.390000343322754,0.0,False,True,,34.57587502895729,10.696134444182617,-14.891970484252315,18.822381016933345,-24.888517874064288
BD+07 1919B,121.78663999999999,7.3827,14.0,14.0,0.0741,0.0517,90.0,A,O,2020yCat.1350....0G,23.9425,HighPM*,K5V,C,1995AJ....110.1838R,10.619999885559082,0.0,False,True,,41.76673279732693,7.515847366019274,-14.061529178294627,12.723198304081448,37.2136210364739
BD+12 168B,20.653174166666663,12.75239111111111,14.0,14.0,0.0242,0.0148,90.0,A,O,2020yCat.1350....0G,22.5546,HighPM*,M0.0V,C,2013AJ....145..102L,,0.0,False,True,,44.336853679515485,,-10.053105356234724,42.396348397787655,8.20007984281977
BD+13 5195B,0.3035883333333333,13.972116388888889,14.0,14.0,0.0173,0.0128,90.0,A,O,2020yCat.1350....0G,27.7118,HighPM*,M0.0V,C,2013AJ....145..102L,10.263999938964844,0.0,False,True,,36.085710780245236,7.477323618882592,5.65782963204269,1.7724414863945523,35.595307802399944
BD+16 2708B,223.6225770833333,16.102393333333335,14.0,14.0,0.5966,0.5477,90.0,A,O,2018yCat.1345....0G,93.814,SB*,M8.5,D,1991ApJS...77..417K,,0.0,False,True,,10.659389856524614,,8.287738316625354,5.306319716685365,-4.096212491172289
BD+18 3497B,268.931875,18.498874166666667,14.0,14.0,0.0086,0.0111,90.0,A,O,2020yCat.1350....0G,44.4069,HighPM*,M1,D,1991ApJS...76..813S,,0.0,False,True,,22.51902294463248,,6.766987311607629,-20.0366254956498,-7.7361434741414765
BD+19 5116B,352.96906375,19.93722361111111,14.0,14.0,0.0427,0.031,90.0,A,O,2020yCat.1350....0G,159.9085,Eruptive*,M4.0Ve,C,2015AJ....149..106D,,0.0,False,True,,6.2535762639259325,,1.290004439912675,2.602990670047574,5.537828473814324
BD+21 1764B,122.05665291666665,21.102694444444445,14.0,14.0,0.0806,0.0638,90.0,A,O,2020yCat.1350....0G,56.2336,SB*,M3.0V,C,2015A&A...577A.128A,11.199999809265137,0.0,False,True,,17.78296249928868,9.949979246026846,10.021139915802136,-5.033300549253456,13.801318618882382
BD+23 3151B,264.45276666666666,22.95440222222222,14.0,14.0,0.0078,0.0111,90.0,A,O,2020yCat.1350....0G,43.8758,HighPM*,M1.5V,C,1974ApJS...28....1J,10.170000076293945,0.0,False,True,,22.79160721855784,8.381125317101302,-11.03033637903436,-6.899858753325837,-18.71312342059769
BD+24 2733B,216.44438416666662,23.620474444444444,14.0,14.0,0.0104,0.0131,90.0,A,O,2020yCat.1350....0G,61.2005,HighPM*,M3V,C,1986AJ.....92..139S,9.972999572753906,0.0,False,True,,16.339735786472332,8.9067744241969,-0.9056198498326107,0.30565988991741816,-16.311756198858827
BD+29 4321B,316.9524854166666,29.75734027777778,14.0,14.0,0.0098,0.0124,90.0,A,O,2020yCat.1350....0G,27.398,HighPM*,M2.61,D,2015ApJS..220...16T,13.609999656677246,0.0,False,True,,36.49901452660778,10.798593963358442,3.007898168745338,-1.0924245168934728,-36.35845456967161
BD+30 206B,20.364513333333335,31.34238,14.0,14.0,0.0312,0.0383,90.0,A,O,2020yCat.1350....0G,34.7383,HighPM*,M3.5V,C,2015A&A...577A.128A,14.0,0.0,False,True,,28.786670620036098,11.704042807071781,1.6022381520556812,28.664105572113236,-2.11525176782663
BD+30 397B,36.8668975,30.977878333333333,14.0,14.0,0.0303,0.0236,90.0,A,O,2020yCat.1350....0G,24.4331,HighPM*,K7,D,2018MNRAS.475.1960F,12.550000190734863,0.0,False,True,,40.92808526138722,9.489893053126028,24.95277358469824,-27.405794098807593,-17.360579005549624
BD+31 3347B,280.93167416666665,31.681573055555557,14.0,14.0,0.0765,0.086,90.0,A,O,2020yCat.1350....0G,20.838,HighPM*,K4V,C,,10.130000114440918,0.0,False,True,,47.98925040790862,6.7242802829129475,-11.046093374433134,-44.96913359124946,12.598769778380008
BD+36 1611B,110.62941249999999,35.899433333333334,14.0,14.0,0.016,0.0155,90.0,A,O,2020yCat.1350....0G,23.9739,HighPM*,M0.0V,C,2013AJ....145..102L,11.425000190734863,0.0,False,True,,41.71202849765787,8.323693638063137,7.396472276879985,5.904193629141607,-40.6242048148191
BD+36 2322B,194.41380208333328,35.221985555555555,14.0,14.0,0.1159,0.0599,90.0,A,O,2018yCat.1345....0G,49.5475,HighPM*,M4.5Ve,C,2013AJ....145..102L,13.15999984741211,0.0,False,True,,20.18265300973813,11.635108579097228,-14.84234982279114,5.670610203285142,-12.445413378903162
BD+44 2051B,166.3786895833333,43.521634722222224,14.0,14.0,0.034,0.0373,90.0,A,O,2020yCat.1350....0G,203.8323,Eruptive*,M6.0V,C,2015A&A...577A.128A,14.449999809265137,0.0,False,True,,4.905993799805036,15.996364834218399,-4.359900055330279,0.5510375000710653,-2.1809182343159765
BD+45 2743B,278.86370041666663,45.76137416666667,14.0,14.0,0.0163,0.0174,90.0,A,O,2020yCat.1350....0G,64.2099,HighPM*,M2.5V,C,2015A&A...577A.128A,,0.0,False,True,,15.573922401374244,,2.382362786948655,-2.166788365747539,15.237336863554924
BD+47 2112B,210.63869749999998,46.340854444444446,14.0,14.0,0.018,0.0205,90.0,A,O,2020yCat.1350....0G,89.5327,HighPM*,M2.5V,C,1974ApJS...28....1J,,0.0,False,True,,11.169103578915859,,7.8251258104517145,1.198582275636495,7.879066019248949
BD+48 1958B,174.35295875,47.46234833333334,14.0,14.0,0.0225,0.0322,90.0,A,O,2020yCat.1350....0G,29.8106,HighPM*,M0V,C,1974ApJS...28....1J,11.15999984741211,0.0,False,True,,33.54511482492805,8.53185343338989,0.17192683729138733,31.641553061383615,-11.138100809557791
BD+48 2138B,204.4628758333333,48.13848861111111,14.0,14.0,0.0203,0.0195,90.0,A,O,2020yCat.1350....0G,47.2112,HighPM*,M1.5V,C,1974ApJS...28....1J,11.239999771118164,0.0,False,True,,21.181414579591287,9.610224967804726,10.808951819149272,2.8679310679819707,-17.9887146720697
BD+52 1308B,126.71266624999998,52.177414999999996,14.0,14.0,0.0114,0.0098,90.0,A,O,2020yCat.1350....0G,29.2857,HighPM*,K4V,C,1986AJ.....92..139S,10.199999809265137,0.0,False,True,,34.146358120174696,7.5332778552175315,-5.69452291803072,-9.903473644366544,32.178679142913566
BD+60 1536B,216.11423374999998,60.25474,14.0,14.0,0.0117,0.0117,90.0,A,O,2020yCat.1350....0G,22.9877,HighPM*,M2.0V,C,2015A&A...577A.128A,,0.0,False,True,,43.50152472844173,,29.132128892571572,-22.40764772541789,-23.272280577962242
BD+66 34B,8.123277499999999,67.23438833333333,14.0,14.0,0.0278,0.029,90.0,A,O,2020yCat.1350....0G,100.3966,HighPM*,M3V,B,1991ApJS...77..417K,12.1899995803833,0.0,False,True,,9.960496670205963,12.198594607264894,0.8080415461588438,-2.9276844671733184,-9.486159730762358
BD+68 1345B,344.71090874999993,69.02694972222223,14.0,14.0,0.0118,0.012,90.0,A,O,2020yCat.1350....0G,23.3986,HighPM*,M3.0V,C,2015A&A...577A.128A,,0.0,False,True,,42.73759968545127,,27.637057708244086,-32.38146290573229,-3.759830872493348
BD+79 615B,286.22273541666664,79.75531388888889,14.0,14.0,0.0296,0.0333,90.0,A,O,2020yCat.1350....0G,29.2165,HighPM*,K5,D,2014MNRAS.443.2561G,,0.0,False,True,,34.227234610579636,,11.233738098494333,3.946052034762656,-32.08949034748048
BD-06 4756B,276.1953629166666,-6.342044166666667,14.0,14.0,0.1835,0.1764,90.0,A,O,2020yCat.1350....0G,23.7746,HighPM*,M4e,D,2019ApJ...877...60B,13.520000457763672,0.0,False,True,,42.06169609583337,10.400566551793236,40.52543449085073,-10.988785406805897,-2.4742742510038385
BD-08 2582B,136.68662291666664,-8.80709638888889,14.0,14.0,0.0272,0.0177,90.0,A,O,2020yCat.1350....0G,69.0069,Low-Mass*,M6Ve,C,2021RNAAS...5...26L,,0.0,False,True,,14.491304492739133,,-0.32297430412717354,11.809234151507484,-8.392590914313903
BD-13 2439B,123.28541874999999,-13.916919722222222,14.0,14.0,0.0698,0.0806,90.0,A,O,2020yCat.1350....0G,46.9556,HighPM*,M0V,C,1974ApJS...28....1J,10.4399995803833,0.0,False,True,,21.296714342911176,8.798436552112571,-3.361840172175042,-3.2164822793989822,-20.782259603003254
BD-20 6558B,348.5685870833333,-19.646181666666667,14.0,14.0,0.0259,0.021,90.0,A,O,2020yCat.1350....0G,47.485,HighPM*,M4,D,2004AJ....128..463R,13.800000190734863,0.0,False,True,,21.059281878487944,12.182782402434214,-14.561652688840008,2.173938400236549,-15.057410668477706
CD-25 10553B,222.38111916666665,-26.109035000000002,14.0,14.0,0.0277,0.0346,90.0,A,O,2020yCat.1350....0G,48.2281,HighPM*,M1.5V,C,1983SAAOC...7..106W,12.065999984741211,0.0,False,True,,20.734799836609778,10.482500748448754,-9.088760715379408,7.229637653753416,-17.177272551784224
CD-26 8623B,173.17155541666665,-26.869196388888888,14.0,14.0,0.0203,0.0172,90.0,A,O,2020yCat.1350....0G,21.6285,TTauri*,M5.5,D,2004ApJ...616..998W,15.220000267028809,0.0,False,True,,46.23529139792404,11.895132271456806,7.069165241145468,2.8560215300897602,-45.60232685361562
CD-28 1745B,71.84642041666666,-27.843228888888888,14.0,14.0,0.02,0.0257,90.0,A,O,2020yCat.1350....0G,63.8998,SB*,M2Ve,C,2006A&A...460..695T,11.699999809265137,0.0,False,True,,15.649501250395152,10.727497303575735,13.038102697510286,-5.67003134891989,-6.53953453523721
CD-29 12513B,246.16565874999992,-29.703419166666666,14.0,14.0,0.0213,0.0136,90.0,A,O,2020yCat.1350....0G,30.5366,HighPM*,G0V,C,2006AJ....132..161G,6.53000020980835,0.0,False,True,,32.74758814013348,3.954103611223207,-2.0091461738647394,-4.166005685695382,32.419319198197385
CD-29 4446C,112.21321291666666,-30.26467388888889,14.0,14.0,0.0173,0.0204,90.0,A,O,2020yCat.1350....0G,65.3181,HighPM*,M5V,C,2008AJ....135.2024A,13.720000267028809,0.0,False,True,,15.30969210678204,12.795167983580008,3.9536210748945715,-4.822904752217215,13.981957751032377
CD-30 9249B,172.39490291666664,-31.557314444444444,14.0,14.0,0.0168,0.0142,90.0,A,O,2020yCat.1350....0G,21.4708,HighPM*,K7,D,,,0.0,False,True,,46.574883097043426,,-42.600311701014135,17.645324870699042,-6.563207195204897
CD-31 7745B,148.36406916666664,-31.75234361111111,14.0,14.0,0.0126,0.014,90.0,A,O,2020yCat.1350....0G,39.1531,HighPM*,M4.5V,C,1995AJ....110.1838R,,0.0,False,True,,25.54076177876081,,-18.295712629504724,-15.700716021626349,-8.431187818227992
CD-35 12664B,277.6044841666666,-35.80504138888889,14.0,14.0,0.0146,0.0133,90.0,A,O,2020yCat.1350....0G,25.3073,HighPM*,K8V,C,2006AJ....132..161G,,0.0,False,True,,39.51429034310258,,-5.192459703247582,-11.428320030592912,37.4674659515093
CD-36 13269B,286.1594079166666,-36.59885861111111,14.0,14.0,0.016,0.0153,90.0,A,O,2020yCat.1350....0G,28.8541,HighPM*,K7,D,1972A&A....18..341S,,0.0,False,True,,34.65711978540311,,-15.124350333437791,-4.258766887581788,30.89066013228686
CD-38 11343,254.20236791666665,-39.09393222222222,14.0,14.0,0.0167,0.0107,90.0,A,O,2020yCat.1350....0G,63.5822,HighPM*,M3Ve,C,1977IBVS.1323....1H,11.079999923706055,0.0,True,True,CD-38 11343B,15.727672210146864,10.096677677753515,-2.656129926526256,0.7254977867380872,-15.484776392466108
CD-38 11343B,254.20141124999995,-39.0935125,14.0,14.0,0.0326,0.0208,90.0,A,O,2020yCat.1350....0G,63.5231,HighPM*,M4Ve,C,1977IBVS.1323....1H,11.3100004196167,0.0,False,True,,15.742304767871845,10.324658839637163,-2.6641787803122106,0.7304358563896426,-15.498024851276858
CD-42 15640B,327.29768375,-41.55869666666666,14.0,14.0,0.0552,0.0397,90.0,A,O,2020yCat.1350....0G,63.8403,HighPM*,M0,D,2006MNRAS.373..705R,,0.0,False,True,,15.664086791572094,,-9.9189031037456,-6.386399230352981,10.304993018093516
CD-43 12272B,271.70797874999994,-43.424749166666665,14.0,14.0,0.0603,0.0473,90.0,A,O,2020yCat.1350....0G,22.6753,HighPM*,A7V,C,1984ApJS...55..657C,5.679999828338623,0.0,False,True,,44.1008498233761,2.457765036322924,1.4884708432438842,37.39238448735409,23.33407362726589
CD-43 2523B,97.96208541666665,-43.53483055555555,14.0,14.0,0.0132,0.0141,90.0,A,O,2020yCat.1350....0G,42.063,HighPM*,M2.5V,C,2006AJ....132..161G,,0.0,False,True,,23.773863015001307,,-18.013214386657047,-11.614975748082442,10.286545021912621
CD-44 15006B,340.17952541666665,-43.98339555555555,14.0,14.0,0.0129,0.0149,90.0,A,O,2020yCat.1350....0G,27.1345,HighPM*,M0V,C,2006AJ....132..161G,11.520000457763672,0.0,False,True,,36.85345224713925,8.687609574582423,23.266975778303152,28.58011794993301,-0.040480019074539644
CD-44 3045B,104.44375,-44.29109361111111,14.0,14.0,0.0351,0.0389,90.0,A,O,2020yCat.1350....0G,124.3569,HighPM*,M3,D,1985ApJS...59..197B,11.289999961853027,0.0,False,True,,8.041371246790488,11.763349398374512,-5.4935608740225454,-5.339656736556644,-2.4438711888851077
CD-48 11837B,263.8060045833333,-48.680033888888886,14.0,14.0,0.0455,0.034,90.0,A,O,2020yCat.1350....0G,103.2027,HighPM*,M3V,C,2006AJ....132..161G,,0.0,False,True,,9.689668971838916,,-0.14142370045331534,0.012445916411927077,9.688628861708585
CD-56 1032,73.38000624999998,-55.860306111111115,14.0,14.0,0.0147,0.0169,90.0,A,O,2020yCat.1350....0G,90.1675,Eruptive*,M3Ve,C,2002AJ....123.2002H,10.803999900817871,0.0,True,True,CD-56 1032B,11.090470513211523,10.579250043400846,-3.705593583253596,-7.721943480115648,7.045473815866713
CD-56 1032B,73.37727249999998,-55.85879555555556,14.0,14.0,0.018,0.0204,90.0,A,O,2020yCat.1350....0G,90.1467,Eruptive*,M4Ve,C,2002AJ....123.2002H,13.920000076293945,0.0,False,True,,11.093029473070008,13.69474924195643,-3.722913492344343,-7.703970479787241,7.060032355838538
FBS 0444-113B,71.71534083333333,-11.279863611111113,14.0,14.0,0.0288,0.0257,90.0,A,O,2020yCat.1350....0G,52.8489,HighPM*,M6,D,2012ApJ...758...56S,,0.0,False,True,,18.92186970778957,,-4.548437353714955,2.7344512635953406,18.16236898548526
FP Cnc B,122.23098958333333,32.81796916666667,14.0,14.0,0.0271,0.0245,90.0,A,O,2020yCat.1350....0G,40.816,SB*,M2.8+M3.3,D,2010ApJ...716.1522S,,0.0,False,True,,24.50019600156801,,-3.9417556205220894,1.1810965719155573,24.152167141503906
FT Psc A,12.638545416666666,24.816714166666667,14.0,14.0,0.0596,0.049,90.0,A,O,2020yCat.1350....0G,66.7256,HighPM*,M3Vkee,C,2003AJ....126.2048G,,0.0,False,True,,14.986751711487047,,14.207487622168376,1.0272068728763617,-4.657775044804962
G 100-49B,89.32966291666666,17.140990833333333,14.0,14.0,0.0441,0.0394,90.0,A,O,2020yCat.1350....0G,48.7373,Low-Mass*,M5,D,2019MNRAS.485.2167G,,0.0,False,True,,20.518165758053893,,-0.5756248534392037,-2.758407948795899,-20.323753779533394
G 122-2B,167.83259291666667,43.4175075,14.0,14.0,0.0157,0.0209,90.0,A,O,2020yCat.1350....0G,59.5953,HighPM*,M2.5,D,2004AJ....128..463R,12.199999809265137,0.0,False,True,,16.779846732879943,11.076059860940136,-3.40516466850695,-13.758848218458956,-8.981214041581598
G 132-51B,15.926136249999999,40.854369444444444,14.0,14.0,0.0261,0.0221,90.0,A,O,2020yCat.1350....0G,32.314,HighPM*,M3.8V,C,2009ApJ...699..649S,,0.0,False,True,,30.946339048090607,,30.20992074851813,6.697594522912136,-0.4228669463184986
G 181-42B,260.97002749999996,33.00290361111111,14.0,14.0,0.0411,0.0466,90.0,A,O,2020yCat.1350....0G,27.6517,HighPM*,M6.5V,C,2005PASP..117..676R,18.290000915527344,0.0,False,True,,36.16414180683285,15.498610097876275,0.5713088787813841,0.12645900217512437,36.15940772344744
G 183-13B,269.2647541666666,15.778616666666668,14.0,14.0,0.0489,0.0553,90.0,A,O,2020yCat.1350....0G,47.1496,HighPM*,M3V,C,2014AJ....147...20N,,0.0,False,True,,21.20908766988479,,-12.94749848544857,16.731584863228665,-1.4972477158918938
G 184-19B,280.29083208333327,24.788780555555558,14.0,14.0,0.0194,0.0242,90.0,A,O,2020yCat.1350....0G,100.5553,Low-Mass*,M4.5Ve,C,2015AJ....149..106D,14.399999618530273,0.0,False,True,,9.944776655233488,14.41202444869349,-7.226062241882734,-5.952833834214008,-3.35356176939543
G 19-16B,258.21338499999996,-5.123730277777778,14.0,14.0,0.115,0.0805,90.0,A,O,2020yCat.1350....0G,43.4501,Low-Mass*,d/sdM7,C,2016AJ....151...46A,,0.0,False,True,,23.014906755105283,,7.580439795374198,5.217136634872592,21.0951262330418
G 22-17B,287.6586183333333,1.5393975,14.0,14.0,0.0506,0.0533,90.0,A,O,2020yCat.1350....0G,29.0582,HighPM*,M4.5Ve,C,2002AJ....123.3434L,,0.0,False,True,,34.413693897075525,,0.2176964945209783,-1.0582117237518094,34.39673129565658
G 250-31B,104.48719166666666,62.321691388888894,14.0,14.0,0.0716,0.0964,90.0,A,O,2020yCat.1350....0G,87.2417,HighPM*,M5V,C,2014AJ....147...20N,,0.0,False,True,,11.46240845834045,,-6.863301149716875,-7.2768185919651485,-5.597304366725116
G 269-153B,21.115684583333326,-33.91887777777777,14.0,14.0,0.0184,0.0169,90.0,A,O,2020yCat.1350....0G,39.7977,HighPM*,M4.3V,C,2009ApJ...699..649S,15.5,0.0,False,True,,25.127080208152734,13.499289869643373,12.924728230248421,-15.490952781275427,-14.978382485751105
G 272-61B,24.756823749999995,-17.950278055555554,14.0,14.0,0.3353,0.282,90.0,A,O,2020yCat.1350....0G,373.8443,Eruptive*,M6V,B,1991ApJS...77..417K,,0.0,False,True,,2.6749103838148667,,1.5480500730934716,-0.6109946101320339,2.094128009226155
G 273-191B,359.5570987499999,-17.40964083333333,14.0,14.0,0.0249,0.02,90.0,A,O,2020yCat.1350....0G,30.0891,HighPM*,M2e,D,2009ApJ...699..649S,,0.0,False,True,,33.234626492650165,,0.6707198761124588,4.285208276987632,32.95037970914127
G 274-138B,30.574010416666663,-26.563789166666666,14.0,14.0,0.0153,0.0161,90.0,A,O,2020yCat.1350....0G,34.6571,HighPM*,M4,D,1985ApJS...59..197B,,0.0,False,True,,28.85411647252655,,2.6769297507375973,-2.998007550011238,-28.572819868711235
G 33-35,15.808977083333332,20.09785611111111,14.0,14.0,0.0232,0.0195,90.0,A,O,2020yCat.1350....0G,62.7652,HighPM*,M1.5,D,1985ApJS...59..197B,12.050000190734863,0.0,True,True,G 33-35B,15.932395658740832,11.03859477590159,-5.023793523541194,-0.5092056735601381,15.111037014100106
G 33-35B,15.80957083333333,20.09834111111111,14.0,14.0,0.1007,0.0853,90.0,A,O,2020yCat.1350....0G,62.7655,HighPM*,M3.5,D,1985ApJS...59..197B,15.050000190734863,0.0,False,True,,15.932319506735388,14.038605154904062,-5.016174677111922,-0.5114425700386274,15.113412022801283
G 39-29B,69.55244124999999,28.21675111111111,14.0,14.0,0.1397,0.0868,90.0,A,O,2020yCat.1350....0G,76.3071,HighPM*,M4.5,D,2007ApJ...654..558D,,0.0,False,True,,13.104940431493269,,-11.851497955954269,-5.541898547512153,0.7542018311310621
